01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Borba,Município,Total,,,,,17
2011,Boticas,Município,T0 ou T1,,,,,0
2011,Boticas,Município,T2,,,,,2
2011,Boticas,Município,T3,,,,,8
2011,Boticas,Município,T4 ou mais,,,,,1
2011,Boticas,Município,Total,,,,,11
2011,Braga,Município,T0 ou T1,,,,,62
2011,Braga,Município,T2,,,,,76
2011,Braga,Município,T3,,,,,260
2011,Braga,Município,T4 ou mais,,,,,266
2011,Braga,Município,Total,,,,,664
2011,Bragança,Município,T0 ou T1,,,,,5
2011,Bragança,Município,T2,,,,,14
2011,Bragança,Município,T3,,,,,58
2011,Bragança,Município,T4 ou mais,,,,,35
2011,Bragança,Município,Total,,,,,112
2011,Cabeceiras de Basto,Município,T0 ou T1,,,,,1
2011,Cabeceiras de Basto,Município,T2,,,,,8
2011,Cabeceiras de Basto,Município,T3,,,,,38
2011,Cabeceiras de Basto,Município,T4 ou mais,,,,,18
2011,Cabeceiras de Basto,Município,Total,,,,,65
2011,Cadaval,Município,T0 ou T1,,,,,1
2011,Cadaval,Município,T2,,,,,2
2011,Cadaval,Município,T3,,,,,24
2011,Cadaval,Município,T4 ou mais,,,,,10
2011,Cadaval,Município,Total,,,,,37
2011,Caldas da Rainha,Município,T0 ou T1,,,,,104
2011,Caldas da Rainha,Município,T2,,,,,17
2011,Caldas da Rainha,Município,T3,,,,,37
2011,Caldas da Rainha,Município,T4 ou mais,,,,,20
2011,Caldas da Rainha,Município,Total,,,,,178
2011,Calheta [R.A.A.],Município,T0 ou T1,,,,,0
2011,Calheta [R.A.A.],Município,T2,,,,,4
2011,Calheta [R.A.A.],Município,T3,,,,,6
2011,Calheta [R.A.A.],Município,T4 ou mais,,,,,1
2011,Calheta [R.A.A.],Município,Total,,,,,11
2011,Calheta [R.A.M.],Município,T0 ou T1,,,,,5
2011,Calheta [R.A.M.],Município,T2,,,,,4
2011,Calheta [R.A.M.],Município,T3,,,,,20
2011,Calheta [R.A.M.],Município,T4 ou mais,,,,,12
2011,Calheta [R.A.M.],Município,Total,,,,,41
